iter	Passed	Remaining
0	1	181
1	3	154
2	4	137
3	5	121
4	6	117
5	7	113
6	8	110
7	9	108
8	10	106
9	11	104
10	12	102
11	13	102
12	15	105
13	16	103
14	18	103
15	19	102
16	20	100
17	21	98
18	22	96
19	23	94
20	24	92
21	25	91
22	26	89
23	27	88
24	29	87
25	30	86
26	31	85
27	33	85
28	34	83
29	35	81
30	36	80
31	37	78
32	38	77
33	39	75
34	39	74
35	41	72
36	41	71
37	42	69
38	44	68
39	45	67
40	46	67
41	47	65
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	57
48	54	56
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	60	49
55	62	48
56	63	48
57	65	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	104	7
93	105	6
94	106	5
95	108	4
96	109	3
97	110	2
98	111	1
99	113	0
