iter	Passed	Remaining
0	135	134966
1	142	71204
2	149	49773
3	159	39712
4	167	33367
5	175	29156
6	179	25473
7	182	22656
8	186	20482
9	188	18675
10	190	17168
11	195	16058
12	202	15388
13	207	14637
14	212	13937
15	217	13357
16	219	12685
17	220	12042
18	222	11463
19	223	10929
20	224	10454
21	226	10073
22	228	9701
23	229	9340
24	230	9001
25	231	8686
26	232	8391
27	233	8121
28	234	7867
29	236	7632
30	237	7413
31	238	7208
32	239	7015
33	240	6837
34	241	6667
35	243	6521
36	245	6382
37	246	6244
38	247	6104
39	248	5970
40	249	5844
41	250	5720
42	251	5604
43	252	5493
44	254	5396
45	255	5296
46	256	5207
47	257	5116
48	259	5028
49	260	4943
50	261	4859
51	262	4778
52	263	4704
53	264	4629
54	265	4557
55	266	4490
56	267	4424
57	268	4362
58	269	4304
59	270	4245
60	272	4194
61	273	4138
62	274	4085
63	275	4033
64	276	3980
65	277	3929
66	278	3879
67	279	3833
68	280	3787
69	281	3739
70	282	3698
71	283	3657
72	284	3618
73	286	3582
74	287	3545
75	288	3508
76	289	3469
77	290	3431
78	291	3397
79	292	3361
80	293	3327
81	294	3294
82	294	3256
83	295	3224
84	296	3194
85	297	3164
86	298	3135
87	300	3111
88	301	3087
89	302	3060
90	303	3034
91	304	3008
92	305	2983
93	306	2958
94	307	2933
95	308	2908
96	309	2884
97	310	2860
98	311	2837
99	312	2813
100	313	2791
101	314	2770
102	316	2753
103	317	2732
104	318	2713
105	319	2695
106	320	2676
107	321	2657
108	322	2637
109	323	2619
110	324	2601
111	325	2584
112	326	2566
113	327	2548
114	329	2532
115	330	2515
116	331	2499
117	332	2484
118	333	2469
119	334	2454
120	335	2440
121	336	2423
122	337	2407
123	338	2393
124	339	2379
125	340	2363
126	341	2348
127	342	2333
128	343	2320
129	344	2306
130	345	2292
131	347	2282
132	348	2269
133	349	2257
134	350	2245
135	351	2231
136	352	2218
137	353	2206
138	354	2195
139	355	2182
140	356	2170
141	356	2156
142	357	2144
143	358	2132
144	359	2120
145	360	2108
146	362	2101
147	363	2093
148	364	2082
149	365	2072
150	366	2061
151	367	2051
152	368	2041
153	369	2031
154	370	2021
155	371	2011
156	372	2002
157	373	1992
158	374	1982
159	375	1972
160	377	1969
161	379	1962
162	380	1954
163	381	1946
164	383	1938
165	384	1933
166	386	1925
167	387	1918
168	389	1913
169	390	1905
170	391	1898
171	392	1891
172	394	1885
173	395	1877
174	396	1869
175	397	1861
176	398	1853
177	399	1846
178	400	1838
179	401	1830
180	402	1823
181	403	1814
182	404	1807
183	405	1799
184	406	1791
185	408	1788
186	410	1785
187	411	1779
188	413	1772
189	414	1765
190	415	1758
191	416	1751
192	416	1743
193	417	1736
194	418	1729
195	419	1722
196	420	1715
197	422	1710
198	423	1706
199	425	1700
200	426	1695
201	427	1689
202	428	1683
203	429	1677
204	431	1672
205	432	1665
206	433	1660
207	434	1654
208	435	1647
209	436	1641
210	437	1636
211	439	1632
212	440	1626
213	441	1621
214	442	1615
215	443	1609
216	444	1604
217	446	1600
218	447	1595
219	448	1589
220	449	1584
221	450	1579
222	451	1573
223	452	1567
224	453	1563
225	455	1558
226	456	1553
227	457	1548
228	458	1543
229	459	1537
230	460	1532
231	461	1527
232	462	1521
233	463	1516
234	464	1511
235	465	1505
236	466	1500
237	467	1496
238	468	1491
239	469	1486
240	470	1482
241	471	1477
242	472	1472
243	473	1467
244	474	1462
245	475	1458
246	476	1453
247	477	1448
248	478	1443
249	479	1439
250	480	1434
251	481	1430
252	483	1426
253	484	1421
254	485	1418
255	486	1414
256	487	1409
257	488	1405
258	489	1401
259	491	1397
260	492	1393
261	492	1388
262	493	1384
263	495	1380
264	496	1375
265	497	1372
266	498	1369
267	500	1366
268	501	1363
269	503	1361
270	504	1357
271	506	1354
272	507	1351
273	508	1347
274	509	1344
275	510	1340
276	512	1337
277	513	1334
278	514	1330
279	516	1327
280	517	1324
281	519	1321
282	520	1317
283	521	1314
284	523	1312
285	524	1310
286	526	1307
287	527	1303
288	528	1299
289	529	1295
290	530	1293
291	532	1289
292	533	1286
293	534	1284
294	536	1281
295	537	1277
296	538	1274
297	539	1270
298	540	1266
299	541	1263
300	542	1259
301	543	1256
302	544	1253
303	546	1250
304	547	1247
305	548	1244
306	549	1241
307	551	1238
308	552	1234
309	553	1231
310	554	1227
311	555	1224
312	556	1220
313	557	1217
314	558	1214
315	559	1212
316	561	1209
317	562	1206
318	563	1203
319	564	1199
320	565	1196
321	566	1192
322	567	1189
323	568	1186
324	569	1183
325	570	1179
326	571	1176
327	572	1173
328	574	1170
329	575	1167
330	576	1164
331	578	1163
332	579	1160
333	580	1157
334	581	1154
335	582	1151
336	583	1148
337	584	1145
338	585	1142
339	587	1139
340	588	1137
341	589	1134
342	590	1131
343	591	1128
